plotNum,lat_y,long_x,MAT,MSP,ELEV,BIOME,MWMT,MCMT,spec1,spec2,spec3,spec4,spec5,spec6
1,55.13669703,-111.7960087,0.7,324,588,CM,15.9,-17.6,1,0,0,1,0,1
2,58.72153491,-113.240457,-1.5,232,243,CM,16.4,-23.5,0,0,0,1,0,1
3,53.54675357,-117.4500349,1.6,434,1312,LF,13.3,-11.3,0,1,0,1,0,1
4,59.98805682,-117.7561785,-4.6,234,738,BSR,13.8,-25.6,0,1,1,0,1,1
5,56.99349302,-115.5715316,-0.5,282,561,CM,15.8,-21.3,1,1,0,1,1,0
6,50.84073422,-114.4226891,2.6,352,1305,M,14.2,-10.3,0,1,1,0,0,0
7,51.10299195,-111.4562679,3.2,212,727,DMG,18.4,-14.5,1,1,0,0,1,0
8,52.78133165,-113.2509532,2.4,344,774,CP,16.3,-13.6,1,1,0,0,1,1
9,53.44839686,-110.1342977,1.4,298,631,CP,16.6,-16.9,1,1,0,0,0,1
10,59.47344474,-118.6195899,-3.9,252,740,BSR,14.1,-24.9,0,1,1,0,0,0
11,54.24204568,-114.4768267,1.8,341,664,DMW,16,-14.8,1,1,1,1,1,0
12,54.7479343,-110.978534,0.7,317,637,CM,16,-18,1,1,0,1,0,1
13,57.8566737,-119.0464808,-1.4,273,673,LBH,15,-21.9,0,1,1,0,0,0
14,51.05997406,-111.5272712,3.1,213,721,DMG,18.4,-14.8,1,1,0,0,0,1
15,54.79367814,-116.1476338,2.1,462,968,LF,14.4,-10.8,0,1,0,1,0,0
16,58.19600818,-119.588917,-1.3,260,529,LBH,15.6,-22.4,0,0,1,1,1,1
17,52.95129854,-117.3019582,-0.6,440,1308,A,11,-12.3,0,0,1,0,0,1
18,57.48359145,-111.7143652,-0.6,268,300,CM,16.5,-22.4,1,1,0,1,0,0
19,52.43813263,-113.8299614,2.5,339,900,CP,15.7,-12.5,1,1,0,0,0,0
20,54.56132613,-118.3558803,2,376,725,LF,14.8,-13,0,1,0,1,1,0
21,51.3529616,-111.7556518,3.2,235,803,DMG,17.7,-13.6,1,1,0,0,1,0
22,59.52649106,-117.7433801,-2.7,227,385,NM,15.6,-24,0,1,0,1,1,1
23,59.43748594,-111.7904944,-2.5,220,239,NM,16,-24.7,0,1,0,1,1,0
24,54.30017372,-110.4734689,1.3,299,500,DMW,16.8,-17.4,0,1,0,0,1,0
